show_id,rating,listed_in,Age Group
s1,PG-13,Documentaries,Adults
s2,TV-MA,International TV Shows,Adults
s2,TV-MA,TV Dramas,Adults
s2,TV-MA,TV Mysteries,Adults
s3,TV-MA,Crime TV Shows,Adults
s3,TV-MA,International TV Shows,Adults
s3,TV-MA,TV Action & Adventure,Adults
s4,TV-MA,Docuseries,Adults
s4,TV-MA,Reality TV,Adults
s5,TV-MA,International TV Shows,Adults
s5,TV-MA,Romantic TV Shows,Adults
s5,TV-MA,TV Comedies,Adults
s6,TV-MA,TV Dramas,Adults
s6,TV-MA,TV Horror,Adults
s6,TV-MA,TV Mysteries,Adults
s7,PG,Children & Family Movies,Teens
s8,TV-MA,Dramas,Adults
s8,TV-MA,Independent Movies,Adults
s8,TV-MA,International Movies,Adults
s9,TV-14,British TV Shows,Teens
s9,TV-14,Reality TV,Teens
s10,PG-13,Comedies,Adults
s10,PG-13,Dramas,Adults
s11,TV-MA,Crime TV Shows,Adults
s11,TV-MA,Docuseries,Adults
s11,TV-MA,International TV Shows,Adults
s12,TV-MA,Crime TV Shows,Adults
s12,TV-MA,International TV Shows,Adults
s12,TV-MA,TV Action & Adventure,Adults
s13,TV-MA,Dramas,Adults
s13,TV-MA,International Movies,Adults
s14,TV-PG,Children & Family Movies,Teens
s14,TV-PG,Comedies,Teens
s15,TV-MA,British TV Shows,Adults
s15,TV-MA,Crime TV Shows,Adults
s15,TV-MA,Docuseries,Adults
s16,TV-MA,TV Comedies,Adults
s16,TV-MA,TV Dramas,Adults
s17,TV-MA,Documentaries,Adults
s17,TV-MA,International Movies,Adults
s18,TV-MA,Crime TV Shows,Adults
s18,TV-MA,Spanish-Language TV Shows,Adults
s18,TV-MA,TV Dramas,Adults
s19,TV-14,Thrillers,Teens
s20,TV-MA,International TV Shows,Adults
s20,TV-MA,Spanish-Language TV Shows,Adults
s20,TV-MA,TV Action & Adventure,Adults
s21,TV-14,Crime TV Shows,Teens
s21,TV-14,Docuseries,Teens
s21,TV-14,International TV Shows,Teens
s22,TV-14,International TV Shows,Teens
s22,TV-14,TV Action & Adventure,Teens
s22,TV-14,TV Dramas,Teens
s23,TV-PG,Comedies,Teens
s23,TV-PG,International Movies,Teens
s24,TV-Y,Children & Family Movies,Kids
s25,TV-14,Comedies,Teens
s25,TV-14,International Movies,Teens
s25,TV-14,Romantic Movies,Teens
s26,TV-14,Docuseries,Teens
s26,TV-14,International TV Shows,Teens
s26,TV-14,Reality TV,Teens
s27,TV-PG,Comedies,Teens
s27,TV-PG,International Movies,Teens
s27,TV-PG,Music & Musicals,Teens
s28,PG-13,Comedies,Adults
s29,PG-13,Horror Movies,Adults
s29,PG-13,Sci-Fi & Fantasy,Adults
s30,PG-13,Thrillers,Adults
s31,TV-14,Dramas,Teens
s31,TV-14,Independent Movies,Teens
s31,TV-14,International Movies,Teens
s32,TV-MA,TV Comedies,Adults
s33,TV-MA,British TV Shows,Adults
s33,TV-MA,International TV Shows,Adults
s33,TV-MA,TV Comedies,Adults
s34,TV-MA,International TV Shows,Adults
s34,TV-MA,TV Dramas,Adults
s34,TV-MA,TV Thrillers,Adults
s35,TV-Y7,Kids' TV,Kids
s36,TV-MA,Dramas,Adults
s36,TV-MA,International Movies,Adults
s36,TV-MA,Thrillers,Adults
s37,TV-MA,Action & Adventure,Adults
s37,TV-MA,Dramas,Adults
s37,TV-MA,International Movies,Adults
s38,TV-Y7,Kids' TV,Kids
s38,TV-Y7,TV Comedies,Kids
s39,PG-13,Action & Adventure,Adults
s39,PG-13,Dramas,Adults
s40,TV-Y7,Kids' TV,Kids
s41,TV-Y7,Kids' TV,Kids
s41,TV-Y7,TV Sci-Fi & Fantasy,Kids
s42,PG,Action & Adventure,Teens
s42,PG,Classic Movies,Teens
s42,PG,Dramas,Teens
s43,PG,Dramas,Teens
s43,PG,Horror Movies,Teens
s43,PG,Thrillers,Teens
s44,PG,Action & Adventure,Teens
s44,PG,Horror Movies,Teens
s44,PG,Thrillers,Teens
s45,PG-13,Action & Adventure,Adults
s45,PG-13,Horror Movies,Adults
s45,PG-13,Thrillers,Adults
s46,PG,Documentaries,Teens
s47,R,Action & Adventure,Adults
s48,TV-MA,International TV Shows,Adults
s48,TV-MA,Romantic TV Shows,Adults
s48,TV-MA,TV Comedies,Adults
s49,R,Dramas,Adults
s49,R,Thrillers,Adults
s50,TV-MA,International TV Shows,Adults
s50,TV-MA,TV Dramas,Adults
s51,TV-PG,International TV Shows,Teens
s51,TV-PG,TV Dramas,Teens
s51,TV-PG,TV Sci-Fi & Fantasy,Teens
s52,TV-14,Action & Adventure,Teens
s52,TV-14,Anime Features,Teens
s52,TV-14,International Movies,Teens
s53,TV-14,Action & Adventure,Teens
s53,TV-14,Anime Features,Teens
s53,TV-14,International Movies,Teens
s54,TV-PG,Action & Adventure,Teens
s54,TV-PG,Anime Features,Teens
s54,TV-PG,International Movies,Teens
s55,TV-PG,Action & Adventure,Teens
